Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form No: APF 1.8,,,,
Master Time Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revision No: 0,,,,
Semester : I,,Academic Year 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w.e.f. Date : 22/06/2015,,,,,Date : 01/07/2009,,,,
Period/ Days,Monday,,,,,,,,,,,,,,,,,,Tuesday,,,,,,,,,,,,,,,,,,Wednesday,,,,,,,,,,,,,,,,,,Thursday,,,,,,,,,,,,,,,,,,Friday,,,,,,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,,,,,,
,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,
,A2,DEL,BSK,,APK,,NNS,,KHW,,PBB,,VVM,,NSB,,C2,CL1,AVD,,NRK,,C2,DSPSL,RGM,,ARG,,C2,PL1,LAD/PRR,,SRR/PRR,,SBT/PRR,,A2,SSL,BSK,,VSG,,KDB,,KHW,,C2,ESDL,MPM,,NSB,,C2,PW,AVD,,FMI,,C2,DEL,NNS,,KHW,,VAMI,,A2,CL1,AKB,,YKS,,SJT,,B2,DEL,APK,,KDB,,NNS,,SRS,,A2,CL2,,,AKB,,,,,,,,,,,,,,,,,,,,
,A205,NRK,,,,,,,,,,,,,,,B203A,LAD,,,,,B104,APK,,,,,B303,SAT,,,,,,,A206,NND,,,,,,,,,B203C,SBT,,,,,B204B,,,,,,A205,GCS,,,,,,,B305,PRR,,,,,,,A205,GCS,,,,,,,,,B105,PDM,,,,,,,,,,,,,,,,,,,,,,,
2.15PM-3.15PM,A3,SSL,A002,MA,A102,DELD,B001,DCWN,B202,DCWN,B101,DBMS,B201,PMCD,B301,PW,C3,CL1,B001,OSA,A102,OSA,C3,SSL,B101,DBMS,A002,APT,C3,PL2,B301/B204B,PC/MNLP,B202/B204B,PC/MNLP,B201/B204B,PC/MNLP,A3,MAL,A102,DELD,B001,DELD,B101,DBMS,B201,DCWN,C3,PL1,B202,DAA,B301,PW,C3,CL2,A002,DS,A102,DELD,C3,DSPSL,B001,TOC,B202,TOC,B101,DBMS,A3,CL1,B201,DAA,B301,PMCD,A102,DS,B3,OSAL,B001,MA,B101,DCWN,B202,OSD,B301,TOC,A3,CL1,,,B201,SSDA,,,,,,,,,,,,,,,,,,,
,A206,SRB,,,,,,,,,,,,,,,B305,YKS,,,,,A206,SRB,,,,,B203B,VAMI,,,,,,,B103,AVD,,,,,,,,,B303,PBB,,,,,B204A,KRP,,,,,B104,APK,,,,,,,B203B,VVM,,,,,,,B303,PVK,,,,,,,,,B203B,VVM,,,,,,,,,,,,,,,,,,,,,,,
,A4,DSPSL,VSG,,GCS,,RGM,,PPW,,YVD,,MPM,,,,C4,CL2,PVK,,BSK,,C4,DEL,MPK,,ARG,,C4,PL2,KDB/PDM,,VAM/PDM,,KRP/PDM,,A4,OSAL,NRK,,GCS,,MPK,,PPW,,C4,PL2,VVM,,,,C4,CL2,JAA,,NRK,,C4,MAL,SAT,,PBB,,YVD,,A4,CL2,LAB,,AKB,,JAA,,B4,SSL,VSG,,RGM,,KHW,,PBB,,A4,PW,,,NSB,,,,,,,,,,,,,,,,,,,,
,B104,FMI,,,,,,,,,,,,,,,B105,LAB,,,,,A205,GCS,,,,,B203A,AAB,,,,,,,B304,PVK,,,,,,,,,B203A,AAB,,,,,B105,LAB,,,,,B103,VSG,,,,,,,B304,AVP,,,,,,,A206,NND,,,,,,,,,B304,,,,,,,,,,,,,,,,,,,,,,,,
3.15PM-3.30PM,SHORT BREAK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.30PM - 4.30PM,,,,,C1,DSPSL,,,,,C1,PL2,B301,Infosys Campus Connect,B301,Infosys Campus Connect,B301,Infosys Campus Connect,,,,,B201,DS,,,,,B101,DBMS,,,,,C1,CL1,,,,,C1,DSPSL,,,,,B101,FCA,B301,Infosys Campus Connect,B301,Infosys Campus Connect,B301,Infosys Campus Connect,,,,,B101,MA,,,,,C1,ESDL,,,,,C1,PW,,,,,B101,DS,,,,,C1,PL2,,,,,C1,CL1,,,,,,,,,,,,,,,,,,,
,,,,,B105,APK,,,,,B203A,AAB,,,,,,,,,,,,,,,,,,,,,,,B302,AKB,,,,,B105,SRR,,,,,,,,,,,,,,,,,,,,,,,B103,SBT,,,,,B105,,,,,,,,,,,,B203A,AAB,,,,,B302,AKB,,,,,,,,,,,,,,,,,,,
,,,,,C2,MAL,,,,,C2,PL2,,,,,,,,,,,JAA,,,,,,YVD,,,,,,C2,CL2,,,,,C2,OSAL,,,,,VAMI,,,,,,,,,,,,VSG,,,,,,C2,PL1,,,,,C2,CL1,,,,,JAA,,,,,,C2,PL2,,,,,C2,CL2,,,,,,,,,,,,,,,,,,,
